Fecha,Caudal,Caudal_log,Caudal_log1p,Caudal_log_diff,Caudal_diff,Mes,Mes_nombre,Trimestre,Trimestre_label,Año,Epoca
2010-01-01,1.196,0.7866375236472842,0.7866375236472842,,,1,Ene,1,Q1,2010,Seca
2010-01-02,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-03,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-04,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-05,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-06,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-07,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-08,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-09,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-10,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-11,1.196,0.7866375236472842,0.7866375236472842,0.0,0.0,1,Ene,1,Q1,2010,Seca
2010-01-12,3.037277777777778,1.3955706474743594,1.3955706474743594,0.6089331238270752,1.8412777777777782,1,Ene,1,Q1,2010,Seca
2010-01-13,2.996881944444444,1.3855145432520697,1.3855145432520695,-0.010056104222289974,-0.040395833333334075,1,Ene,1,Q1,2010,Seca
2010-01-14,2.945527777777777,1.3725827293236477,1.3725827293236477,-0.012931813928421798,-0.051354166666667034,1,Ene,1,Q1,2010,Seca
2010-01-15,2.8358833333333324,1.3443997429333838,1.3443997429333838,-0.028182986390263842,-0.10964444444444466,1,Ene,1,Q1,2010,Seca
2010-01-16,3.0847638888888884,1.407263927103905,1.4072639271039047,0.06286418417052086,0.248880555555556,1,Ene,1,Q1,2010,Seca
2010-01-17,3.0394340277777783,1.3961045900250255,1.3961045900250257,-0.01115933707887895,-0.04532986111111015,1,Ene,1,Q1,2010,Seca
2010-01-18,2.9783958333333325,1.3808786810956364,1.3808786810956364,-0.015225908929389353,-0.061038194444445804,1,Ene,1,Q1,2010,Seca
2010-01-19,3.0374166666666667,1.3956050485008893,1.3956050485008893,0.014726367405252905,0.05902083333333419,1,Ene,1,Q1,2010,Seca
2010-01-20,2.984083333333333,1.382307256504933,1.382307256504933,-0.013297791995956265,-0.05333333333333368,1,Ene,1,Q1,2010,Seca
2010-01-21,3.1802222222222216,1.4303644083346094,1.4303644083346094,0.0480571518296764,0.19613888888888864,1,Ene,1,Q1,2010,Seca
2010-01-22,3.015885416666667,1.390257850275884,1.390257850275884,-0.04010655805872543,-0.16433680555555474,1,Ene,1,Q1,2010,Seca
2010-01-23,2.919475694444445,1.3659578934396193,1.3659578934396193,-0.024299956836264736,-0.096409722222222,1,Ene,1,Q1,2010,Seca
2010-01-24,2.889798611111112,1.358357385367601,1.3583573853676012,-0.007600508072018064,-0.029677083333333076,1,Ene,1,Q1,2010,Seca
2010-01-25,2.916871527777777,1.36529325551874,1.36529325551874,0.006935870151138834,0.027072916666665225,1,Ene,1,Q1,2010,Seca
2010-01-26,3.181767361111112,1.4307339708391014,1.4307339708391014,0.06544071532036133,0.2648958333333349,1,Ene,1,Q1,2010,Seca
2010-01-27,2.9155104166666663,1.3649456955722343,1.3649456955722343,-0.06578827526686704,-0.2662569444444456,1,Ene,1,Q1,2010,Seca
2010-01-28,2.9829652777777778,1.3820265865561303,1.3820265865561303,0.01708089098389598,0.06745486111111143,1,Ene,1,Q1,2010,Seca
2010-01-29,2.825329861111112,1.3416447017591828,1.341644701759183,-0.040381884796947265,-0.15763541666666558,1,Ene,1,Q1,2010,Seca
